position,requirements,description,benefits
"Manager, Data Analytics","Experience with data analytics, reporting, visualization, and building analytics platforms. Proficiency in relevant data analytics software and tools. N/A N/A N/A","Implement and maintain a trusted scalable and efficient data analytics platform to drive data democratization through reporting and visualization. Work with all sales channels and key internal stakeholders to define, develop and centralize data into an omni reporting platform while enhancing the user experience.",Không
Data Analyst Manager,"5+ years experience in data management, analytics and transformation; Proficiency in SQL, Python N/A 5+ years Financial services background",defining and managing data models and data dictionaries to support data and analytics platforms,"Competitive, based on experience"
Senior Data Analyst,"SQL, Python, Excel, GitHub, Google Sheets, experience with analytics and BI tools like Looker, Tableau, PowerBI, Google Data Studio, statistical analysis and data science skills. N/A 5+ years of relevant work experience in data analysis, business analysis, engineering, consulting, statistics, mathematics or other analytical roles. Experience with databricks, Jupyter Notebook, R or other scripting languages, working in fast-paced environments, presenting technical concepts to varied audiences.","Establish business intelligence and data analytics infrastructure, generate insights through exploring data sets, build dashboards and visualizations, lead data projects, collaborate with engineers and product teams, provide analysis and recommendations to clients based on data.",Không
Analytics Manager,ba or bs degree; demonstrated experience thinking strategically about issues leading to recommendations and action plans; years of people management experience; years of experience supporting product business or operations teams in an analytical capacity; demonstrated experience influencing global crossfunctional teams; knowledge in conducting quantitative analysis including sql or python r c ba or bs degree  years of people management experience;  years of experience supporting product business or operations teams in an analytical capacity degree in computer science math physics engineering statistics or other technical fields or equivalent professional experience; knowledge in statistics eg hypothesis testing regressions or computer science; experience teaching and guiding others in quantitative concepts; experience communicating complex topics to technical and nontechnical audience,manage and coach a team of data analysts to have big results through career skill and personal development especially technical mentorship; drive data discovery and leverage findings to improve our partners experience and increase our impact; become a trusted partner for product and engineering teams and understand how your team can help contribute to driving our overall quality and measurement mission lead the team to identify trends and influence change; apply structured thinking to advance the strategy and execution of the org across our base of partners,Không
Marketing Analytics Manager,Proficiency in analytics and ability to synthesize data insights. Strong communication skills to present insights to marketing team and executives. N/A N/A Experience with marketing analytics and campaign performance analysis. Knowledge of trends in marketing analytics space.,"Bringing together data, analytics and insights across channels, teams and tools to uncover insights and tell a story that shapes strategy. Preparing weekly, monthly and quarterly reports analyzing performance. Developing models for attribution, forecasting, and lead/pipeline movement.",Không
"Sr. Product Marketing Manager - Growth, Music Industry","2+ years of experience with end to end product delivery, experience owning roadmap strategy and definition, experience owning feature delivery and tradeoffs of a product, experience with product cycles of 6-12 months, 2+ years of experience in product or program management, product marketing, business development or technology N/A 2+ years experience in growth marketing for a digital or tech company with an emphasis on leveraging ABM (account based marketing) strategies aimed at sourcing and progressing pipeline to drive business Proven ability to initiate and drive complex projects with minimal guidance and then communicate insights with senior stakeholders, experience with Salesforce Marketing Cloud and Sales Cloud and/or similar products, you have owned growth marketing channels and driven demonstrable results owning and achieving core growth and engagement KPIs, you understand marketing funnels and know how to optimize and drive each stage, extremely organized with strong project management skills with a bias towards action and proactive communications, experience working with product and engineering teams influencing roadmaps, an understanding of the music ecosystem & the value chain, the key players, what motivates them and how they operate is a plus but not required","Design and operate a sales and marketing leads pipeline with support from product and engineering. This includes requirements building, marketing automation to enable lead acquisition, nurturing and conversion including lead grading and scoring, and day-to-day sales/marketing ops.",Không
"Marketing Program Manager, B2B","2+ years of successful business-to-business B2B marketing experience, preferably in the ecommerce, retail, technology, SaaS, or software industries. Proficient analytical skills including Microsoft Excel. Experience working with legal, product, and internal business owners to reach mutually beneficial agreements. Experience prioritizing and managing multiple responsibilities. N/A 2+ years of experience BABs degree preferred. Proven ability to execute and exceed on all core goals and secondary KPIs.","Identify and scale high ROI mass communications to Amazon Business sellers using marketing best practices. Collaborate with cross-org stakeholders to source content, segment audiences, and execute effective email and webinar go-to-market motions. Be the strategic owner of multiple Amazon Business flywheel themes with the goal of increasing theme adoption rates while automating repetitive processes.",Không
Project Management Administrator,"Minimum 2 years experience in design/construction, familiarity with design documents and construction phases, computer literacy including MS Office and Bluebeam N/A Minimum 2 years in design or construction Experience as executive assistant, project architect/engineer/manager, located in NYC area","Attend project meetings, provide meeting followup, manage calendars, serve as document controller, support diversity plan execution, interface with project admin",Không
Nurse Administrator,"registered nurse license, scrubbing and circulating operating room experience or preop/pacu experience within a surgery center, acls pals and bls certification N/A nursing - 1 year preferred, supervising experience - 1 year preferred, surgery center - 1 year preferred, scrubbing and circulating operating room - 1 year preferred, preop/pacu in surgery center - 1 year preferred, leadership - 1 year preferred previous experience working in a surgery center","overseeing surgical operations and workflow, staff scheduling, patient scheduling, assisting to build the nursing team and current employee education, ensuring state and regulatory compliance, updating policy procedures and preparing any material for aaahc or any other upcoming accreditations or survey, contributes to and works with physician committees",health insurance
Administrative Assistant,"High school diploma or GED. Minimum of 3 years experience as an administrative assistant and/or medical secretary. Proficiency in Microsoft Word, PowerPoint, and Excel. Knowledge of Microsoft Access a plus. Ability to communicate effectively with others. Excellent oral and written communication skills. Computer knowledge including word processing skills (Microsoft Word). General administrative background with good organizational skills. High school diploma or GED Minimum of 3 years experience as an administrative assistant and/or medical secretary Experience as an administrative assistant and/or medical secretary preferred.","Assist in the overall operation of Rikers Island. Provide secretarial support to the on island administrator. Handle payroll related questions and pregenerate time keep records. Maintain data and/or informative reports on logs and databases. Handle a high call volume, receive and disseminate important information related to medical services. Collect and disseminate medical related information to inmates/patients. Other duties as assigned.",Không
Site Administrative Assistant,"Experience as an administrative professional, proficient in MS Office Word, Excel, Outlook, PowerPoint, excellent customer service skills, verbal and written communication skills, organizational skills, attention to detail N/A N/A N/A","Support site management with employee programs and services, read and route incoming mail, organize and maintain filing system, answer and screen phone calls, schedule appointments and meetings, arrange travel, conduct research and prepare reports, prepare correspondence, order supplies, support payroll operations, support HR functions like recruiting and onboarding",$14 per hour
Senior HR Business Partner,"5+ years of HR/people experience with 2+ years of experience as an HR business partner. Experience partnering with sales teams and sales leadership. Ability to think critically and anticipate issues before they arise and proactively suggest long-term solutions. Excellent judgment and ability to make sound decisions independently. Exceptional ability to prioritize and manage time effectively. Comfortable working with data and analytics, able to turn data into insights and compelling stories. Outstanding communicator with relationship-building skills. Owner mentality. N/A 5+ years of HR/people experience with 2+ years of experience as an HR business partner N/A","Coach leadership on people strategy including team structure, organizational design, strategic hiring, performance management, compensation, recognition and learning and development. Partner with leadership to define, execute and track progress against org-specific people strategy objectives (OKRs). Empower managers to build amazing teams through leadership development. Assess employee development needs and recommend solutions. Lead client groups through DoorDash’s people programs like engagement surveys, performance reviews, compensation reviews, talent development, etc. Partner with the culture, belonging and people growth team to effectively execute our diversity, equity and inclusion strategy. Be a key contributor to reimagining or upleveling companywide people programs such as the performance review process, employee voice survey and manager development training.",Không
HR Generalist,"2+ years of HR coordinator or HR generalist experience. Highly collaborative. Strong verbal and written communication skills. Highly detail-oriented, excellent organizational skills and ability to prioritize effectively. Strong critical thinking skills and ability to propose meaningful solutions. Highly analytical with advanced Excel skills. Able to identify gaps and drive operational improvements. Excellent judgment and discretion maintaining confidentiality. Flexible mindset and ability to navigate ambiguity. Action-oriented and able to work independently with minimal supervision. Knowledge of California employment laws and regulatory requirements. N/A 2+ years of HR coordinator or HR generalist experience Knowledge of employment laws and regulatory requirements in states/countries beyond California.","Partnering cross-functionally to drive and manage process and system improvements that will improve the employee experience, increase the efficiency of the HR team, keep us compliant and improve the quality of our data. Acting as the first point of contact for employees with people operations questions. Onboarding new hires. Administering benefits programs. Processing HR documentation.",Không
Federal - Nursing Assistant Inpatient Mental Health West,CNA or nursing assistant certification. Understanding of safety/infection control procedures. Compassion and patience working with patients. High school diploma or equivalent. Completion of a state-approved CNA training program. N/A Experience in inpatient mental health or psychiatric care. Strong communication skills.,"Provide basic patient care under direction of nursing staff. Maintain patient rooms, equipment, supplies. Assist patients with activities of daily living.",Không
Nursing Assistant (Inpatient Mental Health),"Ability to provide a range of patient/resident care and contribute to the completion of the nurse care plan and recovery of patients/residents. Ability to observe patients’/residents’ physical or emotional status and refer deviations and/or problems to supervisor in a timely manner. Ability to properly use equipment, materials and supplies in simple diagnostic and treatment procedures. N/A Must possess at least one year experience in mental health inpatient or outpatient. Preferred experience must possess at least two year experience in mental health inpatient or outpatient.","Provide quality nursing care to a variety of patients whose age may range from 18 years to over 100 years. Provide complete personal hygiene care needs. Turn and position patients to maintain proper body alignment. Lift, ambulate and transfer patients. Promote the physical independence of the patient by encouraging and teaching individual patients and groups of patients in self-care activities. Prepare patients for meals, feed and assist those requiring assistance. Take and record vital signs, weights, neurological checks and circulatory checks.",Không
Sylmar Certified Nursing Assistant CNA for Psychiatric lockdown...,Certified Nursing Assistant (CNA) certification required. Strong communication and interpersonal skills. Ability to work well under pressure in a fast-paced environment. CNA certification required. N/A Experience working in mental health or psychiatric facilities preferred.,"Provide support and care for patients in a psychiatric facility. This may include monitoring patient behavior, assisting with daily living activities, administering medications, and ensuring a safe environment.","Up to $30/hour. Full-time employees are eligible for health insurance, dental, vision, disability benefits."
Nursing Assistant (Inpatient Mental Health),"Knowledge and experience providing nursing care in an inpatient setting, communication skills, ability to lift/move patients N/A Minimum 2 years nursing experience preferred Experience in mental health or psychiatric care","Perform nursing care duties under the direction of an RN, including: personal hygiene assistance (bathing, oral care, etc), turning and positioning patients, lifting/transferring patients, taking vital signs, feeding patients, assisting with bladder training, providing emotional support, observing and reporting on patient status",Không
Nurse Practitioner - Icu Davies - Pd,Working knowledge of the healthcare industry safety precaution policies best practices regarding patient care and privacy and changes in localstatefederal regulations; possess written and verbal communications skills to explain sensitive information clearly and professionally to diverse audiences including nonmedical people; basic knowledge of computer applications such as microsoft office suite word and outlook electronic health record; prioritize and delegate assignments and work within standardized policies procedures and scientific methods to achieve objectives and meet deadlines; work independently as well as be part of the team including accomplishing multiple tasks in an environment with interruptions; identify evaluate and resolve standard problems by selecting appropriate solutions from established options; ensure the privacy of each patient s protected health information phi; build collaborate relationships with peers and other healthcare providers to achieve departmental and corporate objectives Graduate of an accredited school of nursing N/A N/A,"Assesses, diagnoses, plans and implements the medical care of patients in collaboration with a physician; functions within the full scope of licensure accountable for the assessment coordination delivery and evaluation of nursing care including direct patient care patientfamily education and transitions of care; delivers holistic and individualized care to all patients in assigned area; develops implements manages an optimal interdisciplinary plan of care that incorporates psychological sociocultural spiritual economic and lifestyle factors",Không
Real Estate Agent - Training Provided,"Excellent communication, problem-solving, negotiation, and presentation skills. Knowledge of the local real estate market. Proficient with real estate software and technology. New York real estate license or willingness to obtain one. N/A Prior real estate sales experience. Existing client network.","Handling the entire real estate purchase process for clients, including showing properties, negotiating offers, and guiding clients through closing.","Commission-based pay, earning potential of $50,000+ per year. Flexible schedule. Energetic, supportive team environment."
Real Estate Agent - Training Provided,"Real estate license, sales and negotiation skills, communication and networking abilities, work independently, motivated and driven. State accredited real estate license. Open to new and experienced agents. Previous real estate experience, established professional network.","Selling and listing real estate properties, generating leads, showing homes to prospective buyers, guiding clients through negotiations and paperwork.","Commission-based pay with unlimited earning potential, flexible schedule, free training and support."
Realtor,"Real estate license, communication skills, tech savvy. N/A Open to entry-level and experienced agents. N/A","Perform daily duties like showings, open houses, lead follow up, drafting leases, and closing rentals. Act as an intermediary between tenants and landlords.","Competitive compensation with bonus incentives. Benefits include flexible scheduling, branding assistance, crm software, and more."
Real Estate Agent,"Real estate license, sales and communication skills, knowledge of local real estate market. N/A N/A Existing network of real estate agents and clients.","Motivate and lead a team of real estate agents, generate leads, market properties, facilitate real estate transactions.",Generous commission splits. Residuals for agents brought into the company. Ongoing lead generation provided.
Creative Real Estate Agent in Nyc (We Train You),"Real estate license; ability to move quickly around the city to meet clients for many tours; car is preferred; must have an android/iOS device; organized and computer savvy able to keep sales data up-to-date 2 year college degree preferred but not required N/A Hungry, sales-oriented, creative, people-friendly agents who are passionate about real estate or fresh faces willing to learn about real estate; strong time management skills; ability to manage your own schedule",Daily engagement with customers including heavy use of phones to properly qualify and screen customers based on landlord requirements; selecting listings for customers based on their search criteria and move in date; showing apartments for landlord accounts; providing excellent service keeping renters engaged and happy in their touring experience and rental process; following up with customers that have not yet rented regularly to see if they are still engaged with their rental search; gathering information from tours and submit feedback to improve the process for next time,Potential to earn between $1500 to $2500 per week based on performance and season; hands on training department that will get you fully prepared on how to do the job and help you feel confident meeting your first client through weekly training sessions; access to our network of prequalified buyers as well; easy to screen and qualify all buyers and renters as well as closing deals
Real Estate Agent,"Real estate license, sales skills, outgoing personality, self-motivated, multitasking, follow-up skills, communication skills N/A N/A Experience in real estate industry","Listing and selling real estate properties, hosting open houses, coordinating transactions, conducting showings","$20,000 per year, flexible schedule, work from home, commission pay"
Customer Care Embracer,"Ability to learn and retain large amounts of information, desire to treat each pet parent as a personal responsibility, ability to handle fast pace and organized chaos, authenticity and respect, ability to multitask without distraction. N/A N/A N/A","Responding to 200+ phone calls per day, answering pet parent emails, assisting other departments, helping pet parents understand coverage and options, reviewing claims, maintaining and adjusting policies, providing memorable customer service.","Competitive compensation model and benefits including health insurance, dental vision, wellness reimbursement program, 401k with company contribution, and flexible paid time off."
Customer Support Specialist,"High school diploma or equivalent, minimum 1 year customer service and data entry experience, ability to work in a team, excellent data entry and PC skills, ability to type at least 55 wpm, internet and CRM skills, active listening, customer service skills, ability to work in a fast-paced environment under deadlines, organization and filing skills High school diploma or equivalent, college degree preferred Minimum of 1 year of customer service and data entry experience Experience with office support, clerical, customer service, administrative, receptionist, accounting, payroll, time management, knowledge of recovery database network portal","Submit daily reports to clients via email and web portals, handle incoming phone calls, enter data on Excel, scan and file documents, perform basic accounting tasks, handle team time management and reporting tasks",Không
"Director, Strategy & Operations","Experience with prospect development/administration in a sales environment. Proficiency in SQL, database reporting tools, and web scraping software. N/A N/A Proven success developing and leading high performing teams. Excellent communication, analytical, and problem-solving skills. Ability to analyze, interpret, and organize large amounts of data quickly.","Lead the design, implementation and operation of a prospect feeder capability for the Angis marketplace businesses including Ads and Leads. Day-to-day tasks include growing the prospect database, enhancing data quality, integrating databases, defining lead management guidelines, overseeing metrics, guiding infrastructure design.","Salary commensurate with experience. Eligible for performance bonus and equity package. Full benefits package including medical, dental, vision, vacation, retirement plan with company match."
Sr. Director/Head of Strategy and Business Operations,"Strategic thinking and planning, leadership and influence, program and project management, change management, continuous improvement, budget management, risk management Higher education preferably PhD and/or MBA in pharmaceutical or business sciences N/A Lean and MAIC training and establish record; Master black belt preferred","Set the strategic goals and supports performance targets of techopts in collaboration with CMO and functionalsite leaders; Orchestrate the sustainable transformation of techopts; Lead the design, orchestration and execution of techopts strategic initiatives; Execute the digital and data transformation of techopts; Identify, evaluate and implement innovation across all industries; Manage the business storyline and cases for strategic investments; Lead techopts level business continuity and risk management processes; Drive global-level operational excellence agenda; Design and manage governance including business process management and key capability programs; Drive and sustain program management office (PMO) capabilities, processes and digital platform; Lead a team of professionals to drive all techopts business processes",Không
Sr. Director of Strategy & External Relations,"Commitment to social/racial justice and health equity, based in San Diego, strategic thought partnership abilities, project management skills, independent leadership and operations management, senior-level external relationship building, management/coaching/mentoring experience N/A N/A N/A",Day-to-day tasks and responsibilities are not specified.,Competitive salary and benefits. Salary range available upon request.
"Manager, Business Strategy And Operations","2 years of relevant experience in bizops, strategy consulting, or related field. Payments or blockchain experience preferred. Experience in defining problem spaces and aligning groups to drive execution. Highly independent and motivated to get into the weeds. Strategic thought partner who is comfortable driving requirements across a highly diverse set of stakeholders. Passion for building and mastering complex technical concepts. Thrives in unstructured environments and brings order to chaos. N/A 2 years Payments or blockchain experience","Define clear hypotheses to identify new opportunities and build business cases. Structure complex and ambiguous strategic problems for product and executive leadership. Quantitative and qualitative market research across key product verticals. Aiding product managers in discovery across new product categories, engaging prospects, and crafting plans for market development. Become an expert in the competitive landscape and market developments. Work cross functionally to drive execution of growth programs and key strategic initiatives.",Không
Staff Strategic Operations Manager,"- Strong leadership and influence
- Data analytics and problem-solving skills
- Ability to synthesize information into insights and practical solutions
- Excellent communication and presentation skills
- Cross-functional project management 
- Ability to work in fast-paced environments Bachelors or equivalent degree with specialization in engineering, finance, business, mathematics or related field 5 years in strategy consulting, tech, private equity, or corporate product strategy MBA or advanced degree",#NAME?,Không
Project Manager - Strategy & Operations Transformation Lead,"5+ years experience in consulting/operational excellence, 3+ years business process improvement experience, 2+ years expertise in operations/call center environments, experience with organizational change management, experience with Genesys/Salesforce implementations (desirable). N/A 5+ years in consulting or operational excellence roles Experience successfully managing multiple strategic projects in a fast-paced environment. Embodies lean practices and can adapt to business strategy changes.","Day-to-day tasks include managing strategic operations transformation projects, driving business process improvements, and supporting implementations. Main role is to lead strategic initiatives to transform operations and call center environments.",Không
"Vice President, Head of Global Medical Affairs","MD or comparable degree; subspecialty training in hematology, cardiology, immunology or other complex specialty; at least 15 years experience in biotech/pharma with focus on complex specialties and modalities; experience in gene/cell therapies and clinical/academic experience preferred; demonstrated record of medical strategy design and execution; demonstrated record of successful team building and leadership; demonstrated record of partnerships with scientific organizations and medical centers; strong written and oral communication skills; strong interpersonal skills; knowledge of regulatory guidelines and health authority interactions. MD or comparable degree; subspecialty training in hematology, cardiology, immunology or other complex specialty preferred. At least 15 years experience in biotech/pharma with focus on complex specialties and therapeutic modalities. Experience in gene/cell therapies and clinical/academic experience.","Establish global medical affairs strategy across rocket portfolio; build medical affairs organization; provide leadership for medical affairs team; establish policies and procedures for medical affairs activities; partner with clinical development and commercial teams; establish centers of excellence; partner with commercial for product launches; establish medical education and outreach programs; identify and engage medical/scientific experts; identify lifecycle development strategies for gene therapies; develop publication strategy, CME programs and scientific conferences.",Competitive compensation package with generous 401k match and stock options; excellent health benefits.
PCA & ESA (Phase 1 & 2) Vice President,"PCA / ESA experience (Phase I/II), 2-5 years of relevant experience, excellent report writing skills, ability to travel on short notice to various sites, all relevant and necessary certificates N/A 2-5 years of relevant experience N/A","Visit sites and perform property condition assessments and environmental field assessments phase I and II. Complete PCA and ESA reports including conducting all field work, compiling the data, and preparing the reports.","Above market pay, stability, nationwide company, HD vehicle, great culture, deep bench of expertise, personal service, advanced technology"
Vice President of Operations - Indianapolis & St. Louis,"2+ years property management experience, financial analysis/budgeting skills, strong communication and leadership skills, ability to multitask and meet deadlines, knowledge of industry software like Yardi, RentCafe, etc. N/A 2+ years N/A","Oversee and monitor operational and financial performance of properties, establish and execute operations strategies, build/train/develop property management team, direct oversight of regional managers, ensure properties are well maintained",Không
Senior Embedded C++ Developer,"Experience with C and/or Ada, real time operating systems, embedded software engineering. N/A 5+ years of embedded software engineering experience Embedded background, electronic warfare knowledge, EW background, capable of working on both high and low level software, VxWorks or similar embedded OS experience, UML design experience","Responsible for research, design and development of computer software systems in conjunction with hardware product development. Participates in all phases of the software development life cycle including requirements analysis, design, implementation, integration, and test of software products.",Không
C++ Embedded Engineer,"3-5 years of embedded software engineering experience, 3+ years experience with C and/or Ada, 3+ years real time operating systems experience. BS in computer science, electrical engineering or related field. Ability to obtain secret security clearance. BS in computer science, electrical engineering or related engineering field. 3-5 years of embedded software engineering experience EW background, capable of working on both high and low-level software, VxWorks or similar embedded OS experience, UML design experience","Responsible for the design and development of software products including requirements analysis, design, implementation, integration and testing. Develops software test procedures, programs and documentation.",Không
Hosts / Hostesses,"Friendly demeanor, great customer service skills N/A N/A N/A","Greet guests, seat guests, handle reservations.","K retirement plan if qualified, discount on Red Robin food, discounts on various products and services."
C++ Embedded Engineer with Security Clearance,"2+ years of embedded software engineering experience. 2+ years experience with C and/or Ada. 2+ years real time operating systems experience. B.S. in computer science, electrical engineering or related engineering field. N/A EW background. Capable of working on both high and low-level software. VxWorks or similar embedded OS experience. UML design experience.","Responsible for the design and development of software products for a variety software application. Participates in all phases of the software development life cycle including requirements analysis, design, implementation, integration and test of software products. Works closely with cross functional members of the engineering organization to develop and evaluate interfaces between hardware and software and operational performance requirements and design of the overall system.",Không
Software Engineering,"cad, jira, ada, c, uml, jenkins, bit bucket Bachelors Minimum 3 years of experience N/A",responsible for research design and development of computer software systems in conjunction with hardware product development primarily responsible for the design and development of software products for a variety software applications participates in all phases of the software development life cycle including requirements analysis design implementation integration and test of software products,Không
Banking Center Supervisor,"Good interpersonal, written and verbal communication skills. Solid math and analytical skills. Ability to understand and follow safety and security practices. Proven ability to identify customer needs and translate to sales opportunities. Strong customer service skills. Good organizational and time management skills. Proficiency in Microsoft Office. High school diploma or GED 2 years retail banking experience Supervisory experience preferred","Meet customer sales referrals and cross-selling goals. Promotes bank products, refer or resolve customer inquiries. Helps maintain cost efficiency to achieve goals of the branch. Assures quality of customer service and adherence to sales and brand standards. Performs audits. Participates in daily branch opening and closing procedures. Assists with training, assigning and disciplining employees in the branch.",Không
Project Manager,"2+ years product management experience, excellent communication skills, user-centered design skills, ability to interpret data and translate insights into action N/A 2+ years in a product role Experience with marketplaces or construction","Design solutions and features, create specs and documentation, analyze data to identify opportunities, measure impact of new features","$120,000 - $150,000 per year salary range"
Corporate Recruiter (Remote),"2+ years of recruiting experience, technical recruiting experience preferred. Experience leveraging the capabilities of applicant tracking systems (ATS), ICIMS is a plus. Ability to source passive candidates in addition to active job seekers. Strong project management skills with ability to manage multiple projects. Excellent communication and interpersonal skills. Strong networking skills both internally and externally including on platforms like LinkedIn. N/A 2+ years of recruiting experience Technical recruiting experience preferred. Prior experience developing talent acquisition strategies for multiple functions and at all organization levels strongly preferred.",Source candidates using a variety of search methods to build a robust candidate pipeline. Design and manage a positive candidate experience. Screen candidates by reviewing resumes and job applications and performing phone screenings. Partner with hiring managers to understand business objectives and align recruitment efforts to support key competencies and skills needed. Facilitate the interview process with hiring managers. Assist managers in developing compelling offers within our compensation philosophy and position budgets. Facilitate the offer process by extending the offer and negotiating employment terms.,Không
Technical Sourcing Recruiter (US Remote),"Minimum of 2 years experience as a sourcer or full-cycle recruiter. Demonstrated sourcing, recruiting and building talent pipelines. Excellent use of Boolean, LinkedIn Recruiter and other search techniques. Decisive, with ability to prioritize and manage multiple searches. N/A Minimum of 2 years of experience as a sourcer or full-cycle recruiter. Experience building new recruiting systems/workflows and training teams on best practices. Experience researching conferences, networking groups and nontraditional resources to find candidates. Experience building long-term nurture campaigns and engagement strategies. Experience at a growing SaaS company.","Responsible for full-life cycle recruitment efforts targeting research and development candidates. Build sourcing strategies, support hiring managers, utilize various sourcing techniques to identify and engage candidates.",Không
Corporate Recruiter,"2+ years of staffing/recruiting experience, high-volume preferred; experience with Greenhouse (ATS) is preferred but not required; demonstrated ability to work independently and completely crush it; superior negotiation and closing skills; excellent communication and consulting skills; ability to work in a fast-paced environment and multitask N/A 2+ years of staffing/recruiting experience Experience with Greenhouse (ATS)",run a successful full life cycle recruiting process for high-volume and non-high volume positions; develop and update job descriptions and job specifications; partner with hiring managers and teams as a consultative partner; source and recruit candidates; screen all qualified candidates and organize the holistic interview process; foster an amazing candidate and hiring manager experience; monitor and apply recruiting best practices; be awesome; support other talent acquisition and people ops functions as needed,"remote company; comprehensive medical, dental and vision benefits; short term disability – covered by carerev; life insurance – covered by carerev; paid parental leave; generous paid holidays – unlimited PTO; 401k and company match; office equipment stipend; learning reimbursement program"
Senior Tech Recruiter (Remote),"1 year of strong sourcing or recruiting experience. Experience using an ATS to source, track and manage candidates. Hands-on experience with strong sourcing techniques including recruiting on various platforms and crafting boolean search strings. Proven organizational skills with attention to detail. Strong work ethic and a sense of personal accountability. Ability to work in a fast-paced environment with evolving priorities. N/A 1 year of strong sourcing or recruiting experience N/A","Source, engage and recruit passive talent by researching, creating and executing creative sourcing strategies. Screen and qualify prospective candidates. Track leads/candidates and maintain data integrity within ATS. Build strong relationships with teams across various larger hiring business partners to create deliverables, timelines and tracking processes with measurable metrics.",Không
Full-Cycle Recruiter (Remote),"2+ years full cycle recruiting experience in SaaS focused on S&GA. Combination of corporate in-house and agency experience preferred. Preferred tech stack: GSuite, Lever, LinkedIn Recruiter, Slack, Zoom. Experience closing candidates and negotiating complex compensation packages. N/A 2+ years full cycle recruiting experience N/A","Support full-cycle recruiting for sales, marketing, professional services, customer success, customer support and more. Provide an exceptional and consistent candidate and hiring manager experience with a growth mindset and integrity. Proactively source qualified candidates, review resumes and prescreen candidates while moving the interview process forward in a timely manner. Work with our talent coordination team to continuously improve our interview process.","Market-competitive salary + equity. A once-in-a-lifetime career opportunity to get onboard a fast-growing business that is venture-backed by $100M+ capital (Shasta Ventures, Riverside Acceleration Capital and Hummer Winblad)."
Senior Corporate Recruiter (Contract) - (Remote - US),"2+ years experience in full-cycle recruiting focused on corp recruiting. A blend of agency and in-house startup experience is preferred. Strong sourcing skills with a proven track of turning passive candidates into hires. Experience leveraging niche channels to source candidates (diversity and inclusion events, etc). Experience using the tools of the trade (ATS systems, we use Lever, LinkedIn, Leveraging social media, Indeed, Seekout, Dice, Github, other sourcing tools, etc). Self-starter who enjoys a fast-paced collaborative environment, great organization skills. Knowledge with recruiting tools, applicant tracking systems, data management/reporting techniques and software, collaboration tools. N/A 2+ years experience in full-cycle recruiting focused on corp recruiting Experience creating and fostering partnerships with internal leadership and executive teams. Experience influencing and driving towards results. Superb customer focus, attention to detail and organization skills. Strong written and verbal communications skills. Previous startup/SaaS experience a plus.","Manage full cycle recruiting for multiple complex searches creating innovative sourcing strategies and engagement to bring the best talent to each role. Develop and execute fully comprehensive sourcing plans analyzing requirements to identify target profile needs and matches. Coordinate closely with recruiting team members to innovate our research strategy for talent pooling, market mapping and competitor analysis.",Covered medical/dental/vision for employee + for dependents. Equity. Generous PTO policy. Flexible workplace policy. Team offsites. Life insurance. FSA. Paid maternity/paternity leave. Disability insurance. Travel assistance program. Counseling services offered to employees. Access to personal and professional growth tools (Calm app + LinkedIn Learning).
Marketing Intern,"Experience with social media, excellent communication skills, driven, eager to learn, passionate about travel N/A N/A Marketing or business major","Assisting with social media marketing content creation, newsletter writing, market research, advertising",Không
Marketing Communications Intern - Fall 2023,Strong written and verbal communications skills; ability to work in a fast-paced environment during events with long hours; experience with Adobe Creative Suite is a plus but not required; eager to learn the business of sports and ability to think outside the box; must be enrolled in an accredited college/university undergraduate or postgraduate program; be passionate and have a team-player attitude Must be enrolled in an accredited college/university undergraduate or postgraduate program N/A Experience in Adobe Creative Suite,"Write copy for press releases, media advisories, event descriptions, e-communications, social media marketing, taglines, etc.; assist with social media content scheduling and reporting; assist in creation and execution of marketing campaigns; aid in the distribution of marketing and promotional materials; conduct market research in conjunction with planned events; assist with management of social media accounts and scheduling; assist with media relations during promotion and execution of event; work hands on as event operation staff during GC Sports Commission events such as tennis, volleyball, basketball, track & field, and others.",Hourly rate for up to 20 hours per week; biweekly payment will be provided to interns to cover expenses that may be incurred; GC Sports Commission offers on the job training in various aspects of the sports and entertainment industries as well as a robust professional development program learning aspects of professional communication resume building job search tactics and networking with industry professionals
Marketing Intern,"Must be currently enrolled in college and pursuing coursework in marketing or communication. Ability to develop and maintain effective working relationships with stakeholders including employees and the general public. Ability to speak and write clearly, concisely and persuasively using correct grammar, spelling and punctuation with ability to communicate one-on-one or in group settings. Ability to perform work with a high degree of accuracy and organization. Ability to work cooperatively with others. Ability to perform with considerable independence and initiative. Proficient in the Microsoft Office and Adobe Creative Suite. Must be currently enrolled in college and pursuing coursework in marketing or communication. N/A N/A",Provides support to the department and assists with related functions and special projects as assigned. Serves as customer support liaison between public and internal staff. Assists with corporate partnership activation as needed and provides client support.,Không
